Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.469147,9.710707,9.469147,9.611668,4.542033,1553113
2000-01-04,9.565771,9.597174,9.372524,9.488472,4.483816,1469283
2000-01-05,9.493303,9.589927,9.239666,9.372524,4.429026,1611521
2000-01-06,9.348368,9.780760,9.239666,9.674473,4.571712,1852327
2000-01-07,9.771097,10.012657,9.722785,10.012657,4.731522,5016097
2000-01-10,10.027151,10.121359,9.906371,10.048891,4.748645,1536989
2000-01-11,9.988501,10.012657,9.783175,9.795253,4.628788,1247235
2000-01-12,9.795253,9.903955,9.444991,9.674473,4.571712,1466555
2000-01-13,9.974008,9.858059,9.459485,9.664811,4.567145,2021444
2000-01-14,9.616499,9.891877,9.461901,9.855643,4.657324,2175000
2000-01-17,9.903955,9.903955,9.481225,9.541615,4.508928,2006065
2000-01-18,9.582681,9.626161,9.251744,9.331458,4.409619,2230080
2000-01-19,9.372524,9.372524,9.058496,9.179276,4.337703,2636273
2000-01-20,9.271068,9.300056,8.889404,8.915975,4.213279,2857887
2000-01-21,9.104392,9.058496,8.744468,8.889404,4.200725,3030200
2000-01-24,8.923222,9.034340,8.865248,8.937716,4.223554,4094773
2000-01-25,8.937716,8.937716,8.804858,8.841092,4.177893,1300356
2000-01-26,8.889404,8.913560,8.688909,8.725143,4.123102,1729678
2000-01-27,8.889404,8.889404,8.768624,8.768624,4.143649,1294196
2000-01-28,8.816936,8.901482,8.792780,8.841092,4.177893,1420641
2000-01-31,8.889404,8.889404,8.722727,8.722727,4.121960,1236786
2000-02-01,8.850754,9.051249,8.838676,8.937716,4.223554,3272757
2000-02-02,9.082652,9.082652,8.816936,8.937716,4.223554,1720538
2000-02-03,8.836261,8.937716,8.696156,8.771039,4.144790,2668745
2000-02-04,8.841092,8.841092,8.623688,8.841092,4.177893,2159100
2000-02-07,8.935300,8.937716,8.768624,8.865248,4.189309,1476404
2000-02-08,8.841092,9.051249,8.780702,9.044002,4.273780,1897355
2000-02-09,9.044002,9.046418,8.901482,9.034340,4.269213,1150501
2000-02-10,8.913560,8.937716,8.720312,8.937716,4.223554,1888732
2000-02-11,8.937716,8.937716,8.623688,8.814520,4.165337,2165553
2000-02-14,8.816936,8.908729,8.720312,8.804858,4.160772,1484128
2000-02-15,8.783117,8.816936,8.592285,8.720312,4.120820,1665139
2000-02-16,8.635766,8.729974,8.454596,8.483583,4.008953,2738492
2000-02-17,8.471505,8.587454,8.471505,8.502908,4.018084,1455365
2000-02-18,8.481167,8.597116,8.242023,8.287920,3.916491,2702600
2000-02-21,8.237192,8.357972,8.203374,8.309660,3.926764,1836165
2000-02-22,8.237192,8.309660,8.024619,8.092256,3.824028,4214159
2000-02-23,8.133321,8.249270,7.971476,8.068100,3.812614,3345633
2000-02-24,8.200958,8.394206,7.944905,7.971476,3.766953,2364842
